Pokemon,Pokeball,Status Effect,Success Rate,Avg Capture Probability,Relative Effectiveness
onix,pokeball,BURN,0.12,0.08789999999999998,0.12
onix,ultraball,BURN,0.14,0.17579999999999996,0.14
onix,fastball,BURN,0.11,0.08789999999999998,0.11
onix,heavyball,BURN,0.13,0.12700000000000003,0.13
onix,pokeball,PARALYSIS,0.06,0.08789999999999998,0.06
onix,ultraball,PARALYSIS,0.2,0.17579999999999996,0.2
onix,fastball,PARALYSIS,0.07,0.08789999999999998,0.07
onix,heavyball,PARALYSIS,0.1,0.12700000000000003,0.1
mewtwo,pokeball,NONE,0.0,0.0039000000000000007,0.0
mewtwo,ultraball,NONE,0.01,0.007800000000000001,0.01
mewtwo,fastball,NONE,0.0,0.015600000000000003,0.0
mewtwo,heavyball,NONE,0.0,0.0012999999999999995,0.0
mewtwo,pokeball,SLEEP,0.0,0.007800000000000001,0.0
mewtwo,ultraball,SLEEP,0.03,0.015600000000000003,0.03
mewtwo,fastball,SLEEP,0.06,0.031299999999999994,0.06
mewtwo,heavyball,SLEEP,0.0,0.002599999999999999,0.0
mewtwo,pokeball,FREEZE,0.0,0.007800000000000001,0.0
mewtwo,ultraball,FREEZE,0.0,0.015600000000000003,0.0
mewtwo,fastball,FREEZE,0.04,0.031299999999999994,0.04
mewtwo,heavyball,FREEZE,0.01,0.002599999999999999,0.01
mewtwo,pokeball,POISON,0.0,0.005900000000000002,0.0
mewtwo,ultraball,POISON,0.01,0.011700000000000002,0.01
mewtwo,fastball,POISON,0.02,0.023400000000000004,0.02
mewtwo,heavyball,POISON,0.0,0.0020000000000000005,0.0
mewtwo,pokeball,BURN,0.0,0.005900000000000002,0.0
mewtwo,ultraball,BURN,0.0,0.011700000000000002,0.0
mewtwo,fastball,BURN,0.03,0.023400000000000004,0.03
mewtwo,heavyball,BURN,0.0,0.0020000000000000005,0.0
mewtwo,pokeball,PARALYSIS,0.0,0.005900000000000002,0.0
mewtwo,ultraball,PARALYSIS,0.03,0.011700000000000002,0.03
mewtwo,fastball,PARALYSIS,0.06,0.023400000000000004,0.06
mewtwo,heavyball,PARALYSIS,0.0,0.0020000000000000005,0.0
